REGISTRATION_ID,PROVIDER_ID,SERVICE_ID,SUBMITTED_DATE,STATUS,STATUS_DATE,ASSESSED_BY,NOTES
R001,P001,S001,2023-03-15,Approved,2023-04-10,A.CHEN,Initial application approved
R002,P001,S002,2023-03-15,Approved,2023-04-10,A.CHEN,Initial application approved
R003,P002,S003,2023-04-20,Approved,2023-05-18,B.NGUYEN,
R004,P003,S004,2023-05-25,Under Review,2023-06-01,A.CHEN,Awaiting additional documentation
R005,P005,S005,2023-06-15,Approved,2023-07-20,C.PATEL,
R006,P006,S006,2023-07-10,Rejected,2023-08-05,B.NGUYEN,Failed compliance check
R007,P007,S007,2023-08-20,Approved,2023-09-14,C.PATEL,
R008,P008,S008,2023-09-10,Under Review,,A.CHEN,Pending site visit
R009,P008,S009,2023-09-10,Approved,2023-10-05,B.NGUYEN,
R010,P003,S010,2023-10-10,Submitted,,, 
